EPIC,Campaign,Candidate,Rp/Rs,e_Rp/Rs,Radius,e_Radius,Period,e_Period,a,e_a,Flux,e_Flux,CDPP,b
201155177,1,201155177.01,3.124,0.342,2.216,0.281,6.6890400,0.0008822,0.06111,0.00154,54.049,5.849,280.101,0.201
201208431,1,201208431.01,3.829,0.356,2.468,0.247,10.0042080,0.0008822,0.07826,0.00092,17.878,0.899,177.774,0.300
201247497,1,201247497.01,10.213,2.643,8.749,2.479,2.7540120,0.0001286,0.05006,0.00905,63.627,116.584,1106.692,0.910
201338508,1,201338508.01,3.490,0.347,2.002,0.214,10.9348810,0.0010830,0.08064,0.00098,12.456,0.684,173.087,0.581
201357643,10,201357643.01,3.243,0.119,3.943,0.292,11.8911050,0.0003333,0.10515,0.00315,140.066,15.106,50.522,0.456
201384232,1,201384232.01,2.627,0.101,2.336,0.221,30.9433520,0.0037082,0.18702,0.00524,21.448,2.459,70.431,0.152
201390608,1,201390608.01,10.076,0.380,8.321,0.594,4.9067760,0.0000922,0.05222,0.00148,148.174,12.907,527.128,0.845
201390927,10,201390927.01,4.067,0.742,3.566,0.699,2.6378290,0.0002285,0.03273,0.00083,194.341,16.458,228.359,0.683
201403446,1,201403446.01,1.797,0.140,2.471,0.251,19.1532820,0.0028084,0.15022,0.00392,115.170,11.570,60.661,0.226
201445392,1,201445392.01,3.126,0.371,2.347,0.308,5.0646300,0.0004004,0.05134,0.00149,91.851,9.704,85.575,0.717
201445392,1,201445392.02,3.791,0.408,2.799,0.342,10.3534780,0.0007080,0.08286,0.00247,34.441,3.902,85.575,0.535
201445732,1,201445732.01,1.629,0.153,1.828,0.229,5.6020310,0.0002982,0.06264,0.00158,330.651,35.466,25.555,0.946
201456770,10,201456770.01,2.763,0.326,2.321,0.299,8.0068750,0.0013782,0.07403,0.00211,98.416,9.982,195.993,0.609
201472593,1,201472593.01,1.863,0.145,2.327,0.238,15.9337090,0.0063197,0.13282,0.00362,142.025,13.277,94.932,0.167
201505350,1,201505350.01,4.797,0.172,4.019,0.296,11.9074440,0.0001939,0.09577,0.00227,53.629,5.487,272.645,0.085
201546283,1,201546283.01,5.829,0.724,4.973,0.741,6.7713540,0.0001014,0.06551,0.00174,118.352,10.746,76.658,0.843
201549860,1,201549860.01,3.100,0.347,2.226,0.289,5.6087200,0.0002592,0.05507,0.01013,54.791,37.314,100.584,0.664
201595106,10,201595106.01,1.445,0.068,1.397,0.111,0.8772670,0.0000481,0.01782,0.00050,2868.051,271.116,66.220,0.759
201613023,1,201613023.01,2.090,0.076,2.272,0.182,8.2824690,0.0006755,0.08010,0.00201,174.107,16.893,75.613,0.191
201635569,1,201635569.01,12.257,0.580,7.676,0.425,8.3680860,0.0001335,0.06876,0.00076,19.383,1.104,166.310,0.790
201639576,14,201639576.01,3.102,0.323,2.364,0.286,7.6555330,0.0005715,0.06942,0.00206,77.060,9.441,257.414,0.203
201647718,1,201647718.01,2.702,0.308,2.161,0.308,31.6511910,0.0054383,0.17905,0.00455,10.905,0.889,71.103,0.276
201696891,14,201696891.01,2.704,0.315,2.009,0.262,11.7491330,0.0019786,0.08887,0.00236,26.905,2.795,188.564,0.330
201736247,1,201736247.01,3.757,0.396,2.853,0.330,11.8098550,0.0008958,0.09237,0.00264,40.640,3.874,160.989,0.605
201793642,1,201793642.01,4.830,0.414,2.183,0.200,15.3849700,0.0019874,0.09358,0.00105,3.929,0.246,258.976,0.668
201828749,1,201828749.01,2.622,0.217,2.703,0.299,33.5123560,0.0030972,0.20227,0.00553,23.350,2.245,33.106,0.653
201920032,1,201920032.01,2.904,0.269,2.796,0.366,28.2653490,0.0023541,0.17856,0.00445,26.854,2.700,59.385,0.686
201925324,1,201925324.01,3.491,0.364,2.425,0.325,15.4770270,0.0021849,0.10389,0.01768,13.069,18.883,184.254,0.276
201927336,1,201927336.01,2.747,0.129,2.397,0.219,6.4500840,0.0002766,0.06470,0.00159,148.093,14.890,75.526,0.858
203826436,2,203826436.01,3.113,0.305,2.643,0.330,6.4294800,0.0001322,0.06135,0.00173,89.115,8.669,65.793,0.252
203826436,2,203826436.02,2.891,0.318,2.494,0.317,14.0921060,0.0008323,0.10410,0.00262,31.479,3.103,65.793,0.656
204308061,2,204308061.01,1.555,0.150,1.290,0.155,22.6435560,0.0025370,0.15111,0.00385,29.093,2.732,38.172,0.596
204322265,2,204322265.01,8.759,0.983,3.283,0.386,2.7844660,0.0000491,0.02769,0.00026,21.698,0.775,320.650,0.937
204748201,2,204748201.01,11.873,1.148,14.225,1.805,3.6821570,0.0000312,0.04667,0.00122,493.992,55.341,171.293,0.027
204750116,2,204750116.01,2.755,0.222,2.991,0.332,23.4481720,0.0008443,0.15508,0.00393,30.522,2.629,56.409,0.328
204890128,2,204890128.01,3.175,0.349,2.726,0.318,12.2076320,0.0006687,0.09300,0.00200,31.322,3.247,83.412,0.272
205022144,15,205022144.01,12.797,1.329,10.143,1.334,6.1143290,0.0000725,0.05776,0.00149,70.247,7.309,667.224,0.630
205071984,2,205071984.01,6.273,0.639,5.338,0.699,8.9912120,0.0003743,0.07728,0.00203,58.960,5.149,40.384,0.528
205071984,2,205071984.02,3.754,0.354,3.216,0.359,31.7181930,0.0012268,0.18070,0.00504,10.837,1.065,40.384,0.222
205632508,2,205632508.01,2.988,0.331,1.983,0.232,19.2221290,0.0032703,0.12135,0.00134,7.824,0.384,171.299,0.693
205652650,2,205652650.01,4.521,0.269,2.306,0.154,5.0711940,0.0002377,0.04632,0.00052,19.516,0.782,228.227,0.830
205916793,3,205916793.01,2.762,0.369,1.695,0.232,9.7854180,0.0011358,0.07639,0.00085,15.843,1.122,118.046,0.476
205924614,3,205924614.01,7.458,1.175,5.189,0.854,2.8492540,0.0000276,0.03481,0.00661,122.464,124.766,73.383,0.884
205943325,3,205943325.01,1.558,0.152,2.570,0.302,27.2701910,0.0029856,0.19582,0.00535,99.300,9.814,29.687,0.375
205944181,3,205944181.01,4.520,0.812,3.776,0.724,2.4755830,0.0000637,0.03373,0.00080,442.549,40.605,61.177,0.984
205950854,3,205950854.01,2.241,0.208,1.995,0.242,15.8538630,0.0015900,0.11878,0.00290,47.859,5.055,67.221,0.470
205957328,3,205957328.01,2.409,0.246,1.895,0.258,14.3523670,0.0012501,0.10718,0.00299,35.957,3.634,68.759,0.519
205976958,3,205976958.01,3.575,0.189,1.889,0.114,2.3183420,0.0002100,0.02781,0.00029,66.767,3.290,343.240,0.244
205999468,3,205999468.01,3.145,0.394,2.388,0.377,12.2634340,0.0009135,0.09482,0.00216,37.737,3.604,32.970,0.903
206007892,3,206007892.01,1.235,0.126,1.132,0.132,6.3806120,0.0007274,0.06487,0.00182,159.661,14.405,29.845,0.315
206008091,3,206008091.01,1.572,0.162,1.708,0.217,12.3984840,0.0023164,0.10591,0.00260,105.226,10.199,27.029,0.513
206011496,3,206011496.01,1.695,0.170,1.634,0.180,2.3691150,0.0001172,0.03380,0.00090,583.101,53.184,31.662,0.342
206024342,3,206024342.01,1.741,0.191,1.456,0.175,4.5077960,0.0007469,0.05141,0.00130,255.913,25.616,79.365,0.712
206024342,3,206024342.02,2.765,0.244,2.351,0.267,14.6394350,0.0013238,0.11268,0.00289,52.834,4.558,79.365,0.441
206026904,3,206026904.01,1.779,0.183,1.432,0.168,2.5369360,0.0000664,0.03347,0.00104,338.934,32.617,46.384,0.223
