KIC,KOI,Rp/Rs,e_Rp/Rs,Radius,e_Radius,Period,e_Period,a,e_a,Flux,e_Flux,CDPP,b
757450,889.01,12.549,0.507,12.023,0.879,8.884922995,0.000001636,0.07864,0.00224,79.5312,7.7395,269.473,0.03387
1026957,958.01,3.504,0.102,2.457,0.187,21.761298120,0.000017270,0.13499,0.00421,13.5602,1.1896,62.989,0.03588
1431122,994.01,2.120,0.396,1.849,0.362,4.298920100,0.000020100,0.04868,0.00129,216.1854,22.6700,125.521,3.03111
1717722,3145.02,1.525,0.112,1.003,0.105,0.977311489,0.000004631,0.01735,0.00273,577.0658,304.2016,280.418,0.01037
1717722,3145.01,2.427,0.389,1.605,0.280,4.537021210,0.000024980,0.04890,0.00848,72.2924,65.9077,280.418,0.80556
1718189,993.03,1.629,0.251,1.362,0.237,86.723653000,0.001758000,0.36738,0.00868,4.5580,0.4151,83.876,0.60843
1718189,993.01,2.020,0.279,1.661,0.275,21.853629050,0.000092260,0.14630,0.00414,28.5519,2.8567,83.876,0.70175
1718189,993.02,1.700,0.407,1.470,0.350,13.060793600,0.000105300,0.10365,0.00271,55.8846,5.4823,83.876,0.87147
1718958,4053.01,0.843,0.210,0.860,0.207,1.419758310,0.000012290,0.02497,0.00071,1834.8550,183.4708,70.605,0.57868
1721157,4644.01,1.563,0.137,1.088,0.126,3.449281110,0.000021220,0.03967,0.00101,160.5885,14.0652,238.690,0.39765
1724719,4212.02,0.793,0.135,1.059,0.197,10.098963400,0.000117100,0.09395,0.00255,179.3208,18.3392,90.465,0.78827
1724719,4212.01,1.268,0.168,1.605,0.239,5.791799340,0.000033500,0.06519,0.00185,371.5696,47.8385,90.465,1.58359
1865864,4926.01,2.136,0.206,1.521,0.182,69.089357000,0.002371000,0.29145,0.00811,2.5506,0.2648,249.463,0.04550
1871483,6256.01,1.932,0.202,1.594,0.202,14.137062000,0.000158400,0.10208,0.00302,25.1509,2.1999,241.728,0.02343
1872821,2351.01,1.872,0.124,1.651,0.152,10.273809570,0.000059290,0.08782,0.00252,73.9903,6.9267,144.459,0.11126
1873513,4928.01,11.503,0.403,6.285,0.278,3.290304098,0.000004432,0.03562,0.00039,42.5304,2.2449,238.650,0.07782
1995519,2634.01,3.272,0.486,3.256,0.530,19.940121100,0.000134400,0.13879,0.00365,35.6860,4.0053,260.695,1.27354
1996180,2534.01,1.271,0.142,1.511,0.201,3.025584940,0.000012020,0.04188,0.00112,846.5775,92.0683,83.865,1.43035
1996180,2534.02,1.086,0.172,1.292,0.227,5.422042570,0.000068470,0.06178,0.00172,391.5858,43.0171,83.865,1.98337
2142522,2403.01,1.094,0.066,1.316,0.121,13.323540780,0.000097540,0.11463,0.00290,133.5626,12.8353,55.831,0.17681
2161536,2130.01,2.889,0.178,1.844,0.130,16.855925930,0.000064300,0.11022,0.00120,8.0604,0.5183,272.431,0.02619
2161949,6259.01,1.044,0.092,1.065,0.130,4.781139420,0.000060370,0.05405,0.00129,269.7841,27.5412,114.553,0.09856
2161949,6259.02,1.163,0.097,1.228,0.146,7.188640640,0.000077580,0.07136,0.00188,155.9359,15.2278,114.553,0.28574
2165002,999.01,3.568,0.174,2.526,0.227,16.568068420,0.000052260,0.11482,0.00278,22.6839,2.2803,257.262,0.18868
2165002,999.02,3.039,0.209,2.118,0.246,47.332929900,0.000345600,0.23171,0.00654,5.5621,0.5874,257.262,0.24521
2283362,6262.01,1.511,0.141,1.315,0.157,0.673141323,0.000002141,0.01415,0.00038,2312.8108,284.2616,271.543,0.07207
2299738,7628.01,0.987,0.059,0.776,0.063,1.813437800,0.000026430,0.02651,0.00069,472.7281,49.5192,191.883,1.69461
2302548,988.01,2.792,0.111,2.127,0.165,10.381224470,0.000021310,0.08444,0.00216,43.8548,3.7610,98.947,0.27045
2302548,988.02,3.512,0.605,2.563,0.468,24.570902300,0.000100900,0.14999,0.00371,13.8517,1.3640,98.947,1.84895
2302997,7630.01,1.501,0.570,0.963,0.361,16.298220100,0.000229200,0.10759,0.00110,8.2053,0.3704,124.150,0.71705
2303903,4709.01,1.724,0.182,1.550,0.223,3.708585950,0.000022600,0.04402,0.00123,248.2138,34.3210,256.992,0.08235
2307415,2053.01,1.603,0.185,2.226,0.355,13.121621670,0.000044830,0.11549,0.00314,165.9821,13.5302,51.225,0.84971
2307415,2053.02,1.282,0.128,1.753,0.212,4.612673600,0.000012080,0.05716,0.00159,673.7266,62.2660,51.225,0.85710
2438264,440.01,2.960,0.102,2.407,0.180,15.906888910,0.000025540,0.11309,0.00283,28.0459,2.8703,106.877,0.01579
2438264,440.02,3.086,0.269,2.447,0.261,4.973455252,0.000004430,0.05234,0.00143,130.4741,12.1568,106.877,0.78976
2438513,1944.01,2.440,0.429,2.207,0.445,12.184200060,0.000041270,0.09991,0.00257,74.2976,6.8623,153.832,0.68363
2439243,2280.01,3.747,0.657,3.523,0.724,26.020332900,0.000186900,0.16569,0.00494,24.2385,3.6227,253.515,0.87007
2441495,166.01,2.806,0.289,2.103,0.268,12.493407250,0.000012360,0.09658,0.00246,40.4225,3.3000,58.501,0.46261
2442448,2812.01,2.539,0.274,3.577,0.436,76.613944600,0.000618700,0.36655,0.01007,13.1638,1.5112,86.470,1.50642
2444412,103.01,2.914,0.079,2.535,0.200,14.910951770,0.000012750,0.11439,0.00350,51.7012,5.2644,62.104,0.00975
2449245,6274.01,1.478,0.135,1.536,0.192,18.177292700,0.000490100,0.13407,0.00371,54.7389,7.0497,193.322,0.03347
2449431,2009.01,2.308,0.094,2.522,0.187,86.749080700,0.000549900,0.38472,0.01029,7.3263,0.6990,67.179,0.00000
2556650,2156.01,3.817,0.178,1.935,0.104,2.852348262,0.000002926,0.03178,0.00039,47.1491,2.7644,313.300,0.12927
